Time Stamp,Current Weather,Temp (C),Humidity,Barometric Pressue (Pa),Wind Direction,Wind Speed (m/s),Wind Chill (C),Heat Index (C)
4/1/2022 0:15:00,Partly Cloudy,,,,,,,
4/1/2022 0:35:00,Partly Cloudy,,,,,,,
4/1/2022 0:55:00,Mostly Cloudy,13.1,58.32343307,100510,290,12.96,,
4/1/2022 1:15:00,Rain,11,74.80200756,100640,300,25.92,,
4/1/2022 1:35:00,Light Rain,,,,,,,
4/1/2022 1:55:00,Cloudy,7.1,74.11668354,,290,27.72,2.991761699,
4/1/2022 2:15:00,Cloudy,7,72.02253228,100710,290,18.36,3.794508812,
4/1/2022 2:35:00,Cloudy,6.8,71.98432053,100750,290,12.96,4.292495998,
4/1/2022 2:55:00,Partly Cloudy,6.5,72.96132574,100750,290,18.36,3.168213356,
4/1/2022 3:15:00,Clear,,,,,,,
4/1/2022 3:35:00,Clear,,,,,,,
4/1/2022 3:55:00,Clear,5.7,76.00955215,100710,290,11.16,3.276559032,
4/1/2022 4:15:00,Partly Cloudy,,,,,,,
4/1/2022 4:35:00,Partly Cloudy,5.1,78.6770046,100710,0,0,,
4/1/2022 4:55:00,Mostly Cloudy,5.5,77.6226743,100750,0,0,,
4/1/2022 5:15:00,Cloudy,,,,,,,
4/1/2022 5:35:00,Cloudy,6.1,72.36674385,100750,280,5.4,5.201321102,
4/1/2022 5:55:00,Cloudy,6,74.98265048,100780,250,5.4,5.087284492,
4/1/2022 6:15:00,Cloudy,,,,,,,
4/1/2022 6:55:00,Cloudy,6.3,71.88847397,100810,270,12.96,3.683304575,
4/1/2022 7:15:00,Cloudy,,,,,,,
4/1/2022 7:35:00,Cloudy,,,,,,,
4/1/2022 7:55:00,Cloudy,6.5,68.40780012,100920,280,9.36,4.598687751,
4/1/2022 8:15:00,Cloudy,,,,,,,
4/1/2022 8:35:00,Cloudy,6.6,63.66857085,100950,280,20.52,3.043262315,
4/1/2022 8:55:00,Cloudy,7,63.30309071,100980,280,16.56,4.018547875,
4/1/2022 9:15:00,Light Rain,6.5,66.9469326,101050,280,12.96,3.926981144,
4/1/2022 9:55:00,Cloudy,6.7,63.23261894,101120,300,20.52,3.169654555,
4/1/2022 10:15:00,Cloudy,5.4,80.42375449,101150,300,12.96,2.586760014,
4/1/2022 10:35:00,Cloudy,,,,,,,
4/1/2022 10:55:00,Cloudy,5.3,73.26249414,101250,280,16.56,1.906710185,
4/1/2022 11:15:00,Mostly Cloudy,6.4,66.44412918,101290,280,18.36,3.042954265,
4/1/2022 11:35:00,Mostly Cloudy,,,,,,,
4/1/2022 11:55:00,Cloudy,7.2,57.23394326,101320,270,18.36,4.045026994,
4/1/2022 12:15:00,Cloudy,,,,,,,
4/1/2022 12:35:00,Cloudy,7.3,53.611588,101320,290,14.76,4.633348628,
4/1/2022 12:55:00,Mostly Cloudy,8.1,49.29589165,101320,290,29.52,4.146995288,
4/1/2022 13:15:00,Partly Cloudy,,,,,,,
4/1/2022 13:55:00,Partly Cloudy,8.6,45.58779382,101390,280,22.32,5.396380688,
4/1/2022 14:15:00,Mostly Cloudy,,,,,,,
4/1/2022 14:35:00,Cloudy and Windy,7.6,54.08759313,101420,320,37.08,2.962453629,
4/1/2022 14:55:00,Mostly Cloudy,7.6,51.3790391,101460,300,22.32,4.123757191,
4/1/2022 15:15:00,Partly Cloudy,,,,,,,
4/1/2022 15:35:00,Partly Cloudy and Windy,8,50.73964214,101460,310,31.68,3.856742969,
4/1/2022 15:55:00,Clear,7.6,51.75845268,101490,,,,
4/1/2022 16:15:00,Partly Cloudy,,,,,,,
4/1/2022 16:35:00,Clear,7.5,46.63741207,101520,300,29.52,3.365548158,
4/1/2022 16:55:00,Clear,7.6,46.66643423,101520,300,24.12,3.952361808,
4/1/2022 17:15:00,Partly Cloudy,,,,,,,
4/1/2022 17:35:00,Clear,7.2,46.20387629,101590,300,25.92,3.276038311,
4/1/2022 17:55:00,Clear,7,47.5454711,101630,310,29.52,2.714342216,
4/1/2022 18:15:00,Partly Cloudy,,,,,,,
4/1/2022 18:35:00,Clear,6.4,49.54565834,101660,300,14.76,3.525508741,
4/1/2022 18:55:00,Clear,6,51.69612533,101730,290,11.16,3.637840588,
4/1/2022 19:15:00,Clear,,,,,,,
4/1/2022 19:35:00,Clear,,,,,,,
4/1/2022 19:55:00,Partly Cloudy,5,54.18260462,101860,290,12.96,2.099406875,
4/1/2022 20:15:00,Mostly Cloudy,4.6,56.55270557,101860,270,9.36,2.341298091,
4/1/2022 20:55:00,Clear,4.5,56.10599017,101930,300,16.56,0.912904214,
4/1/2022 21:15:00,Clear,,,,,,,
4/1/2022 21:35:00,Clear,,,,,,,
4/1/2022 21:55:00,Partly Cloudy,4,57.67351075,102000,0,0,,
4/1/2022 22:15:00,Mostly Cloudy,,,,,,,
4/1/2022 22:35:00,Partly Cloudy,3.5,60.18555657,102000,290,12.96,0.271832606,
4/1/2022 22:55:00,Clear,3.6,59.76306365,102000,290,9.36,1.15319827,
4/1/2022 23:15:00,Clear,3.6,59.31838709,102000,290,7.56,1.630606599,
4/1/2022 23:35:00,Clear,3.2,61.47315112,102000,280,5.4,1.894259406,
4/1/2022 23:55:00,Clear,3.2,61.9335947,102030,290,9.36,0.677958341,
4/2/2022 0:15:00,Clear,,,,,,,
4/2/2022 0:35:00,Clear,2.8,63.23797733,102030,290,7.56,0.695354494,
4/2/2022 0:55:00,Clear,2.4,64.57538635,102070,280,5.4,0.981966524,
4/2/2022 1:15:00,Clear,,,,,,,
4/2/2022 1:35:00,Clear,,,,,,,
4/2/2022 1:55:00,Clear,2.1,65.47818263,102030,300,7.56,-0.122991098,
4/2/2022 2:15:00,Clear,,,,,,,
4/2/2022 2:35:00,Clear,1.2,69.83302229,102030,210,5.4,-0.386472799,
4/2/2022 2:55:00,Clear,0.3,74.51297655,102030,0,0,,
4/2/2022 3:35:00,Clear,0.1,75.59976984,102000,280,5.4,-1.640875511,
4/2/2022 8:35:00,Clear,1.3,72.50706363,102200,0,0,,
4/2/2022 9:55:00,Clear,4.3,59.49637526,102170,130,5.4,3.148662118,
4/2/2022 10:15:00,Clear,,,,,,,
4/2/2022 10:35:00,Clear,,,,,,,
4/2/2022 10:55:00,Clear,6.1,55.2924684,102100,0,0,,
4/2/2022 11:15:00,Clear,7.1,51.61959423,102070,0,0,,
4/2/2022 11:35:00,Clear,,,,,,,
4/2/2022 11:55:00,Clear,8.5,46.92684796,102030,0,0,,
4/2/2022 12:15:00,Clear,9.8,45.93599744,102000,0,0,,
4/2/2022 12:35:00,Clear,,,,,,,
4/2/2022 12:55:00,Clear,10.6,34.59220086,101860,0,0,,
4/2/2022 13:15:00,Clear,,,,,,,
4/2/2022 13:35:00,Clear,12.1,33.75886227,101800,0,0,,
4/2/2022 13:55:00,Clear,13.4,34.65087263,101760,120,7.56,,
4/2/2022 14:15:00,Clear,,,,,,,
4/2/2022 14:35:00,Clear,15,33.13155742,101660,160,9.36,,
4/2/2022 14:55:00,Clear,15.1,29.69585115,101590,0,0,,
4/2/2022 15:15:00,Clear,,,,,,,
4/2/2022 15:35:00,Clear,,,,,,,
4/2/2022 16:15:00,Clear,,,,,,,
4/2/2022 16:35:00,Clear,,,,,,,
4/2/2022 16:55:00,Clear,16.1,32.49540153,101460,180,9.36,,
4/2/2022 17:15:00,Clear,,,,,,,
4/2/2022 17:35:00,Clear,15.3,34.70301443,101460,210,9.36,,
4/2/2022 17:55:00,Clear,15,35.8957796,101460,210,11.16,,
4/2/2022 18:15:00,Clear,,,,,,,
4/2/2022 18:35:00,Clear,13.9,38.53969806,101460,200,9.36,,
4/2/2022 18:55:00,Clear,,,,,,,
4/2/2022 19:15:00,Partly Cloudy,,,,,,,
4/2/2022 19:55:00,Cloudy,12.3,43.40814113,101460,200,5.4,,
4/2/2022 20:15:00,Cloudy,,,,,,,
4/2/2022 20:35:00,Cloudy,,,,,,,
4/2/2022 21:15:00,Cloudy,,,,,,,
4/2/2022 21:35:00,Cloudy,11.5,46.76176221,101390,0,0,,
4/2/2022 22:15:00,Cloudy,,,,,,,
4/3/2022 0:15:00,Cloudy,10.2,53.23318017,101320,0,0,,
4/3/2022 0:35:00,Cloudy,10.3,52.87893481,101320,0,0,,
4/3/2022 0:55:00,Cloudy,10.3,54.02995774,101320,250,5.4,,
4/3/2022 1:15:00,Cloudy,,,,,,,
