Time Stamp,Current Weather,Temp (C),Humidity,Barometric Pressue (Pa),Wind Direction,Wind Speed (m/s),Wind Chill (C),Heat Index (C)
2/1/2026 0:15:00,Cloudy,-11.4,60.64401676,101420,320,14.76,-18.38510235,
2/1/2026 0:35:00,Mostly Cloudy,-11.5,61.64701864,101390,310,9.36,-16.78710903,
2/1/2026 0:55:00,Clear,-11.6,61.62091103,101320,310,22.32,-20.31061395,
2/1/2026 1:15:00,Clear,-12.1,64.1403159,101360,320,16.56,-19.7085697,
2/1/2026 1:35:00,Clear,-12.3,64.09034238,101390,310,12.96,-18.97861636,
2/1/2026 1:55:00,Partly Cloudy,-12.4,64.60829612,101390,300,9.36,-17.85639887,
2/1/2026 2:15:00,Mostly Cloudy,-12.6,67.90745212,101390,310,18.36,-20.75627305,
2/1/2026 2:35:00,Cloudy,-12.6,69.63938871,101390,310,16.56,-20.32969843,
2/1/2026 2:55:00,Cloudy,-12.6,69.63938871,101390,300,20.52,-21.22404773,
2/1/2026 3:15:00,Cloudy,-12.7,71.38966061,101390,300,12.96,-19.4659695,
2/1/2026 3:35:00,Cloudy,-12.7,71.98935397,101420,290,11.16,-18.88204308,
2/1/2026 3:55:00,Cloudy,-12.6,72.01006793,,300,12.96,-19.34413121,
2/1/2026 4:15:00,Cloudy,-12.6,72.61390058,101460,300,14.76,-19.86222219,
2/1/2026 4:35:00,Haze,-12.7,76.31490729,101460,300,16.56,-20.45392418,
2/1/2026 4:55:00,Haze,-12.7,76.31490729,101490,290,12.96,-19.4659695,
2/1/2026 5:15:00,Cloudy,-12.6,73.22225704,101520,300,16.56,-20.32969843,
2/1/2026 5:35:00,Cloudy,-12.7,73.20227394,101520,300,11.16,-18.88204308,
2/1/2026 5:55:00,Cloudy,-12.6,73.22225704,101560,280,11.16,-18.7616159,
2/1/2026 6:15:00,Cloudy,-12.7,73.81555977,101590,290,16.56,-20.45392418,
2/1/2026 6:35:00,Cloudy,-12.7,70.79443912,101630,300,16.56,-20.45392418,
2/1/2026 6:55:00,Cloudy,-13,71.32632459,101630,300,16.56,-20.82660142,
2/1/2026 7:15:00,Mostly Cloudy,-13.1,70.708553,101660,300,12.96,-19.95332264,
2/1/2026 7:35:00,Cloudy,-13.4,69.46202099,101660,300,11.16,-19.72503338,
2/1/2026 7:55:00,Mostly Cloudy,-13.5,68.85513782,101690,300,20.52,-22.36157789,
2/1/2026 8:15:00,Mostly Cloudy,-13.5,68.85513782,101730,,,,
2/1/2026 8:35:00,Partly Cloudy,-13.2,67.19821632,101760,300,22.32,-22.34681154,
2/1/2026 8:55:00,Light Snow,-13,63.91470464,101760,300,18.36,-21.25730942,
2/1/2026 9:15:00,Clear,-12.7,61.85572772,101800,300,20.52,-21.35043997,
2/1/2026 9:35:00,Clear,-12.1,58.93816556,101800,300,16.56,-19.7085697,
2/1/2026 9:55:00,Clear,-11.7,59.04745697,101800,290,12.96,-18.24758665,
2/1/2026 10:15:00,Clear,-11.4,60.13525767,101830,290,18.36,-19.25316396,
2/1/2026 10:35:00,Clear,-10.9,60.77643809,101860,300,18.36,-18.6268685,
2/1/2026 10:55:00,Clear,-10.3,59.92581329,101860,300,20.52,-18.31702622,
2/1/2026 11:15:00,Clear,-9.8,59.56152591,101860,290,12.96,-15.93265924,
2/1/2026 11:35:00,Clear,-9.5,58.1727992,101860,280,11.16,-15.02837315,
2/1/2026 11:55:00,Clear,-8.8,55.99372875,101830,290,14.76,-15.18467601,
2/1/2026 12:15:00,Clear,-8.5,55.15541826,101830,260,11.16,-13.82410129,
2/1/2026 12:35:00,Clear,-8.2,55.2406413,101800,290,11.16,-13.46281974,
2/1/2026 12:55:00,Clear,-7.6,54.50431136,101800,300,11.16,-12.74025663,
2/1/2026 13:15:00,Clear,-7.3,51.5246997,101760,300,12.96,-12.88670213,
2/1/2026 13:35:00,Clear,-7.1,50.31855802,101730,300,14.76,-13.09208956,
2/1/2026 13:55:00,Clear,-6.8,49.17171358,101690,300,16.56,-13.12460514,
2/1/2026 14:15:00,Clear,-6.6,48.42328298,101690,,,,
2/1/2026 14:35:00,Clear,-6.4,47.29370249,101690,310,22.32,-13.69297177,
2/1/2026 14:55:00,Clear,-6.4,49.70067296,101730,300,22.32,-13.69297177,
2/1/2026 15:15:00,,-6.2,47.354761,101730,300,20.52,-13.13494438,
2/1/2026 15:35:00,Clear,-5.9,46.66824227,101760,300,22.32,-13.05666002,
2/1/2026 15:55:00,Clear,-5.9,47.83950845,101800,300,18.36,-12.36391394,
2/1/2026 16:15:00,Clear,-6,47.80914272,101800,300,16.56,-12.13079916,
2/1/2026 16:35:00,Clear,-6.3,48.11453478,101800,300,14.76,-12.10734299,
2/1/2026 16:55:00,Clear,-6.7,49.61077428,101830,280,9.36,-11.08422989,
2/1/2026 17:55:00,Clear,-7.9,51.77626569,101860,300,9.36,-12.50994968,
2/1/2026 18:15:00,Clear,-8.4,54.27506381,101900,290,11.16,-13.70367411,
2/1/2026 18:35:00,Clear,-8.4,53.37968249,101930,300,9.36,-13.10399959,
2/1/2026 18:55:00,Clear,-8.8,53.70992924,101970,290,14.76,-15.18467601,
2/1/2026 19:15:00,Clear,-8.7,53.29242535,101970,290,11.16,-14.06495567,
2/1/2026 19:35:00,Clear,-9,55.01293347,102000,280,9.36,-13.81685948,
2/1/2026 19:55:00,Clear,-9.3,57.74545058,102030,280,9.36,-14.17328943,
2/1/2026 20:15:00,Clear,-9.9,62.57833698,102030,280,7.56,-14.15177267,
2/1/2026 20:35:00,Clear,-10,64.12697081,102030,290,9.36,-15.0049593,
2/1/2026 20:55:00,Clear,-10,64.65949373,102070,290,9.36,-15.0049593,
2/1/2026 21:15:00,Clear,-10.1,65.7124622,102070,300,7.56,-14.3855857,
2/1/2026 21:35:00,Clear,-10.5,67.26619702,102100,280,7.56,-14.85321175,
2/1/2026 21:55:00,Clear,-10.5,66.71220581,102100,280,9.36,-15.59900921,
2/1/2026 22:15:00,Clear,-10.7,67.21977951,102100,280,7.56,-15.08702478,
2/1/2026 22:35:00,Clear,-10.5,67.26619702,102100,280,7.56,-14.85321175,
2/1/2026 22:55:00,Clear,-10.3,66.75912183,102100,280,9.36,-15.36138925,
2/1/2026 23:15:00,Clear,-10.3,67.31252555,102100,280,11.16,-15.99179063,
2/1/2026 23:35:00,Clear,-10.5,67.8242961,102100,280,11.16,-16.232645,
2/1/2026 23:55:00,Clear,-10.5,68.38652965,102130,280,11.16,-16.232645,
2/2/2026 0:15:00,Clear,-10.3,67.31252555,102130,270,9.36,-15.36138925,
2/2/2026 0:35:00,Clear,-10.7,68.90834364,102130,270,7.56,-15.08702478,
2/2/2026 0:55:00,Clear,-10.9,69.4355328,102130,270,7.56,-15.32083781,
2/2/2026 1:15:00,Clear,-10.8,69.45755901,102170,260,7.56,-15.20393129,
2/2/2026 1:35:00,Clear,-11.1,69.96816378,102170,270,7.56,-15.55465083,
2/2/2026 1:55:00,Clear,-11,69.98990799,102170,280,11.16,-16.83478093,
2/2/2026 2:15:00,,-10.9,69.4355328,102170,250,9.36,-16.07424914,
2/2/2026 2:35:00,Clear,-10.9,70.01163059,102170,260,9.36,-16.07424914,
2/2/2026 2:55:00,Clear,-10.5,68.38652965,102170,0,0,,
2/2/2026 3:15:00,Clear,-10.4,68.40909932,102170,0,0,,
2/2/2026 3:35:00,Clear,-10.5,68.95292441,102170,260,7.56,-14.85321175,
2/2/2026 3:55:00,Clear,-10.7,70.05501101,102170,250,5.4,-13.95682942,
2/2/2026 4:15:00,Clear,-10.9,69.4355328,102170,260,5.4,-14.18490264,
2/2/2026 4:35:00,Clear,-11.3,71.68268383,102170,260,5.4,-14.64104908,
2/2/2026 4:55:00,Clear,-11.1,72.31824296,102200,270,7.56,-15.55465083,
2/2/2026 5:15:00,Clear,-10.7,70.05501101,102200,260,5.4,-13.95682942,
2/2/2026 5:35:00,Clear,-10.6,68.93064495,102200,250,9.36,-15.71781919,
2/2/2026 5:55:00,Clear,-10.7,69.47956347,102200,250,9.36,-15.83662918,
2/2/2026 6:15:00,Clear,-10.9,69.4355328,102240,240,9.36,-16.07424914,
2/2/2026 6:35:00,Clear,-11.5,71.64107846,102240,260,7.56,-16.02227688,
2/2/2026 6:55:00,Clear,-12.8,76.29685645,102200,250,7.56,-17.54206156,
2/2/2026 7:15:00,Clear,-12.4,75.11237399,102200,280,9.36,-17.85639887,
2/2/2026 7:35:00,Clear,-11.1,69.39141507,102240,280,7.56,-15.55465083,
2/2/2026 7:55:00,Clear,-10.6,67.2429994,102200,300,12.96,-16.90736552,
2/2/2026 8:15:00,Clear,-10.4,67.2893724,102200,300,12.96,-16.66368895,
2/2/2026 8:35:00,Clear,-10.1,64.63499887,102200,290,9.36,-15.12376928,
2/2/2026 8:55:00,Clear,-9.6,62.13867753,102270,290,7.56,-13.80105314,
2/2/2026 9:15:00,Clear,-8.9,59.80213686,102270,270,5.4,-11.90417043,
2/2/2026 9:35:00,Clear,-7.8,53.55360377,102300,290,7.56,-11.6967359,
2/2/2026 9:55:00,Clear,-7.1,49.90305408,,260,7.56,-10.87839031,
2/2/2026 10:15:00,Clear,-6.4,46.51485539,102300,260,9.36,-10.72779994,
2/2/2026 10:35:00,Clear,-5.7,41.59722319,102270,280,9.36,-9.896130069,
2/2/2026 10:55:00,Clear,-5.1,39.08677875,102270,240,5.4,-7.570779243,
2/2/2026 11:15:00,Clear,-4.4,35.55222151,102300,270,9.36,-8.351600301,
2/2/2026 11:35:00,Clear,-4,33.92404434,102270,250,9.36,-7.876360372,
2/2/2026 11:55:00,Clear,-3.4,31.89295537,102270,0,0,,
2/2/2026 12:15:00,Clear,-2.6,30.562764,102240,270,9.36,-6.213020623,
2/2/2026 12:35:00,Clear,-2.3,31.43800512,102200,260,5.4,-4.377754157,
2/2/2026 12:55:00,Clear,-1.8,31.33119056,102170,240,5.4,-3.807571106,
2/2/2026 13:15:00,Mostly Cloudy,-1.3,30.20138084,102130,260,5.4,-3.237388054,
2/2/2026 13:35:00,Partly Cloudy,-0.6,30.67115875,102130,280,9.36,-3.83682098,
2/2/2026 13:55:00,Partly Cloudy,-0.3,31.79712121,102100,270,7.56,-2.928747413,
2/2/2026 14:15:00,Clear,-0.1,31.5978469,102070,0,0,,
2/2/2026 14:35:00,Mostly Cloudy,-0.4,35.63112822,102070,280,5.4,-2.211058562,
2/2/2026 14:55:00,Cloudy,0,36.34091675,102070,280,7.56,-2.578027874,
2/2/2026 15:15:00,Cloudy,0,39.39665218,102070,260,7.56,-2.578027874,
2/2/2026 15:35:00,Cloudy,0,41.0088285,102070,240,5.4,-1.754912121,
2/2/2026 15:55:00,Cloudy,0.5,38.92281419,102030,250,7.56,-1.993495308,
2/2/2026 16:15:00,Cloudy,0.1,38.48777394,102030,0,0,,
2/2/2026 16:35:00,Cloudy,0.1,40.38793218,102030,260,5.4,-1.640875511,
2/2/2026 16:55:00,Cloudy,0,42.34066572,102070,250,9.36,-3.123961087,
2/2/2026 17:15:00,Cloudy,-0.1,44.38043925,102070,230,5.4,-1.868948732,
2/2/2026 17:35:00,Cloudy,-0.5,47.91399726,102100,240,5.4,-2.325095173,
2/2/2026 17:55:00,,-0.7,47.4771831,102100,250,7.56,-3.396373466,
2/2/2026 18:15:00,Cloudy,-0.8,49.36185637,102100,240,7.56,-3.513279979,
2/2/2026 18:35:00,Cloudy,-0.8,49.75291193,102130,250,5.4,-2.667205003,
2/2/2026 19:15:00,Cloudy,-1.2,54.12871138,102170,260,5.4,-3.123351444,
2/2/2026 19:35:00,Cloudy,,,,,,,
2/2/2026 19:55:00,Cloudy,-1.3,55.82283483,102170,240,5.4,-3.237388054,
2/2/2026 20:15:00,Cloudy,-1.5,58.44484061,102170,0,0,,
2/2/2026 20:35:00,Cloudy,-1.7,59.77397958,102200,0,0,,
2/2/2026 20:55:00,Cloudy,-2,61.10912216,102200,0,0,,
2/2/2026 21:15:00,Cloudy,-2,60.63490886,102200,270,5.4,-4.035644326,
2/2/2026 21:35:00,Cloudy,-2,60.63490886,,250,5.4,-4.035644326,
2/2/2026 21:55:00,Cloudy,-1.8,59.28406274,,240,11.16,-5.755479873,
2/2/2026 22:15:00,Cloudy,-2,61.10912216,102240,230,5.4,-4.035644326,
2/2/2026 22:35:00,Cloudy,-2.1,61.56151688,102200,250,7.56,-5.03306465,
2/2/2026 22:55:00,Cloudy,-2.1,61.56151688,102200,260,7.56,-5.03306465,
2/2/2026 23:15:00,Cloudy,-2.2,63.97638581,102240,250,5.4,-4.263717547,
2/2/2026 23:35:00,Cloudy,-2.3,66.99530097,102200,0,0,,
2/2/2026 23:55:00,Cloudy,-2.2,65.99001972,102170,0,0,,
2/3/2026 0:15:00,Cloudy,-2.1,66.01305389,102200,0,0,,
2/3/2026 0:35:00,Cloudy,-2.5,68.52107535,102200,0,0,,
2/3/2026 0:55:00,Cloudy,-2.5,68.52107535,102200,0,0,,
2/3/2026 1:15:00,Cloudy,-2.6,69.56528461,102200,0,0,,
