Time Stamp,Current Weather,Temp (C),Humidity,Barometric Pressue (Pa),Wind Direction,Wind Speed (m/s),Wind Chill (C),Heat Index (C)
3/1/2022 0:15:00,Clear,,,,,,,
3/1/2022 0:55:00,Clear,1.3,74.69374964,102130,0,0,,
3/1/2022 1:15:00,Clear,,,,,,,
3/1/2022 1:55:00,Clear,0.3,79.09081416,102130,0,0,,
3/1/2022 2:15:00,Clear,,,,,,,
3/1/2022 2:35:00,Clear,,,,,,,
3/1/2022 2:55:00,Clear,0.7,78.56801135,102100,0,0,,
3/1/2022 3:15:00,Clear,,,,,,,
3/1/2022 3:35:00,Clear,0,79.63526383,102100,0,0,,
3/1/2022 3:55:00,Clear,-0.7,83.79445923,102100,0,0,,
3/1/2022 4:15:00,Clear,,,,,,,
3/1/2022 4:35:00,Clear,-1.3,91.53946384,102130,0,0,,
3/1/2022 4:55:00,Clear,-1,88.23361205,102130,0,0,,
3/1/2022 5:15:00,Clear,,,,,,,
3/1/2022 5:55:00,Clear,,,,,,,
3/1/2022 6:15:00,Clear,-1.2,91.54617148,102130,0,0,,
3/1/2022 6:35:00,Clear,-1.1,86.92345491,102130,0,0,,
3/1/2022 6:55:00,Clear,-1.8,92.8753849,102130,0,0,,
3/1/2022 7:15:00,Clear,,,,,,,
3/1/2022 7:35:00,Clear,-0.1,85.74914029,102200,0,0,,
3/1/2022 7:55:00,Clear,0.6,87.7341718,102240,0,0,,
3/1/2022 8:15:00,Clear,,,,,,,
3/1/2022 8:35:00,Clear,1.4,81.02609377,102240,0,0,,
3/1/2022 8:55:00,Clear,2.6,76.59127669,102200,0,0,,
3/1/2022 9:15:00,Clear,,,,,,,
3/1/2022 9:35:00,Clear,3,80.66188068,102240,290,5.4,1.666186185,
3/1/2022 9:55:00,Clear,4.5,74.18012666,102200,0,0,,
3/1/2022 10:15:00,Clear,6.5,63.18553837,102200,260,5.4,5.657467543,
3/1/2022 10:55:00,Clear,9.3,44.13323403,102170,270,9.36,7.925367251,
3/1/2022 11:15:00,Clear,9.8,42.36190118,102130,250,11.16,8.214073633,
3/1/2022 11:35:00,Clear,10.5,40.12799348,102100,280,7.56,,
3/1/2022 11:55:00,Clear,11.1,38.27435233,102070,300,11.16,,
3/1/2022 12:15:00,Clear,,,,,,,
3/1/2022 12:35:00,Clear,,,,,,,
3/1/2022 12:55:00,Clear,12.5,35.94630556,101930,200,11.16,,
3/1/2022 13:15:00,Clear,,,,,,,
3/1/2022 13:35:00,Clear,14.7,27.04528191,101860,260,11.16,,
3/1/2022 13:55:00,Clear,15,25.35711904,101830,220,11.16,,
3/1/2022 14:15:00,Clear,15.2,25.03319927,101800,270,12.96,,
3/1/2022 14:35:00,Clear,,,,,,,
3/1/2022 14:55:00,Clear,15.9,23.93546366,101760,260,11.16,,
